SEM3,SEM5,MENTOR_EMAIL,SEM4,risk_label,past_count,INTERNAL_MARKS,EMAIL,YEAR,present_att,dropout_label,internal_pct,performance_overall,DEPT,SEM2,MENTOR,performance_label,prev_att,PREV_ATTENDANCE_PERC,dropout_score,RNO,attendance_pct,SEM7,SEM8,NAME,S.NO,BEHAVIOR_SCORE_10,risk_score,CURR_SEM,SEM1,performance_trend,behavior_pct,ATTENDED_DAYS_CURR,TOTAL_DAYS_CURR,past_avg,SEM6,batch_year
0.0,0.0,dr..anil.singh95@gmail.com,0.0,high,0,28.0,ananya.mishra230@gmail.com,1.0,56.57,medium,93.33,39.2,CIVIL,0.0,Dr. Anil Singh,poor,67.0,67.0,45.07,23G31A6867,58.0,0.0,0.0,Ananya Mishra,6.0,5.0,60.8,1.0,,0.0,50.0,56.0,99.0,0.0,0.0,2029.0
0.0,0.0,prof..meera.desai26@gmail.com,0.0,high,0,20.0,arjun.desai910@gmail.com,1.0,91.95,low,66.67,37.45,CSE(AI),0.0,Prof. Meera Desai,poor,56.0,56.0,24.46,23G31A2732,84.97,0.0,0.0,Arjun Desai,7.0,9.4,62.55,1.0,,0.0,94.0,80.0,87.0,0.0,0.0,2029.0
0.0,0.0,prof..priya.sharma21@gmail.com,0.0,high,0,22.0,ajay.joshi189@gmail.com,1.0,94.57,low,73.33,36.02,CSE,0.0,Prof. Priya Sharma,poor,65.0,65.0,31.62,23G31B7317,82.5,0.0,0.0,Ajay Joshi,8.0,3.3,63.98,1.0,,0.0,33.0,87.0,92.0,0.0,0.0,2029.0
0.0,0.0,prof..priya.sharma33@gmail.com,0.0,high,0,16.0,tanvi.mishra455@gmail.com,1.0,89.16,low,53.33,29.65,CDS,0.0,Prof. Priya Sharma,poor,54.0,54.0,36.45,23G31B7519,77.31,0.0,0.0,Tanvi Mishra,9.0,4.1,70.35,1.0,,0.0,41.0,74.0,83.0,0.0,0.0,2029.0
0.0,0.0,prof..priya.sharma68@gmail.com,0.0,high,0,13.0,aryan.reddy330@gmail.com,1.0,59.26,medium,43.33,27.04,ECE,0.0,Prof. Priya Sharma,poor,72.0,72.0,41.76,23G31B7375,64.58,0.0,0.0,Aryan Reddy,10.0,8.7,72.96,1.0,,0.0,87.0,48.0,81.0,0.0,0.0,2029.0
0.0,0.0,dr..vikram.reddy67@gmail.com,0.0,normal,1,13.0,sanjay.bhat324@gmail.com,1.0,59.57,medium,43.33,51.06,EEE,,Dr. Vikram Reddy,medium,66.0,66.0,46.88,23G31B5317,57.7,0.0,0.0,Sanjay Bhat,11.0,2.8,48.94,2.0,56.0,0.0,28.0,56.0,94.0,56.0,0.0,2029.0
0.0,0.0,prof..meera.desai52@gmail.com,0.0,low,1,27.0,varun.patel485@gmail.com,1.0,45.69,medium,90.0,64.37,MECH,,Prof. Meera Desai,medium,52.0,52.0,50.26,23G31A4061,45.48,0.0,0.0,Varun Patel,12.0,3.1,35.63,2.0,58.0,0.0,31.0,53.0,116.0,58.0,0.0,2029.0
0.0,0.0,dr..anil.singh71@gmail.com,0.0,normal,1,10.0,nikhil.iyer957@gmail.com,1.0,68.82,low,33.33,46.43,CIVIL,,Dr. Anil Singh,poor,58.0,58.0,39.76,23G31B5477,65.87,0.0,0.0,Nikhil Iyer,13.0,6.1,53.57,2.0,47.0,0.0,61.0,64.0,93.0,47.0,0.0,2029.0
0.0,0.0,prof..ritika.malhotra80@gmail.com,0.0,low,1,28.0,ashok.menon415@gmail.com,1.0,69.05,low,93.33,82.09,CSE(AI),,Prof. Ritika Malhotra,high,78.0,78.0,24.92,23G31B8275,71.63,0.0,0.0,Ashok Menon,14.0,7.7,17.91,2.0,79.0,0.0,77.0,58.0,84.0,79.0,0.0,2029.0
0.0,0.0,dr..suresh.iyer88@gmail.com,0.0,high,0,18.0,mohan.patel292@gmail.com,1.0,80.0,low,60.0,30.79,CSE,0.0,Dr. Suresh Iyer,poor,66.0,66.0,39.27,23G31A4790,72.9,0.0,0.0,Mohan Patel,15.0,3.7,69.22,1.0,,0.0,37.0,72.0,90.0,0.0,0.0,2029.0
