S.NO,NAME,RNO,EMAIL,DEPT,YEAR,CURR_SEM,BATCH_YEAR,SEM1,SEM2,SEM3,SEM4,SEM5,SEM6,SEM7,SEM8,INTERNAL_MARKS,TOTAL_DAYS_CURR,ATTENDED_DAYS_CURR,PREV_ATTENDANCE_PERC,BEHAVIOR_SCORE_10,MENTOR,MENTOR_EMAIL
1,Student 1,22CSE001,student1@college.edu,CSE,1,1,2022,77,73,0,0,0,0,0,0,15,90,75,76,7,Dr. Mentor 1,mentor1@college.edu
2,Student 2,22ECE002,student2@college.edu,ECE,2,3,2022,61,78,62,78,0,0,0,0,24,90,81,81,9,Dr. Mentor 2,mentor2@college.edu
3,Student 3,22MECH003,student3@college.edu,MECH,3,5,2022,92,75,87,90,81,94,0,0,23,90,76,75,7,Dr. Mentor 3,mentor3@college.edu
4,Student 4,22CIVIL004,student4@college.edu,CIVIL,4,7,2022,82,78,61,83,83,86,67,72,25,90,88,79,8,Dr. Mentor 4,mentor4@college.edu
5,Student 5,22EEE005,student5@college.edu,EEE,1,1,2022,72,72,0,0,0,0,0,0,17,90,71,90,9,Dr. Mentor 5,mentor5@college.edu
6,Student 6,22IT006,student6@college.edu,IT,2,3,2022,77,87,75,87,0,0,0,0,24,90,87,88,8,Dr. Mentor 6,mentor6@college.edu
7,Student 7,22CDS007,student7@college.edu,CDS,3,5,2022,81,88,91,77,64,90,0,0,15,90,74,79,6,Dr. Mentor 7,mentor7@college.edu
8,Student 8,22CSE008,student8@college.edu,CSE,4,7,2022,80,71,92,93,84,90,77,82,22,90,89,76,7,Dr. Mentor 8,mentor8@college.edu
9,Student 9,22ECE009,student9@college.edu,ECE,1,1,2022,68,85,0,0,0,0,0,0,27,90,80,81,7,Dr. Mentor 9,mentor9@college.edu
10,Student 10,22MECH010,student10@college.edu,MECH,2,3,2022,86,73,92,60,0,0,0,0,25,90,85,91,9,Dr. Mentor 10,mentor10@college.edu
11,Student 11,22CIVIL011,student11@college.edu,CIVIL,3,5,2022,73,78,92,71,78,78,0,0,16,90,79,94,6,Dr. Mentor 11,mentor11@college.edu
12,Student 12,22EEE012,student12@college.edu,EEE,4,7,2022,93,88,72,77,68,61,69,89,21,90,87,78,6,Dr. Mentor 12,mentor12@college.edu
13,Student 13,22IT013,student13@college.edu,IT,1,1,2022,85,91,0,0,0,0,0,0,17,90,74,94,8,Dr. Mentor 13,mentor13@college.edu
14,Student 14,22CDS014,student14@college.edu,CDS,2,3,2022,82,90,63,74,0,0,0,0,28,90,78,82,7,Dr. Mentor 14,mentor14@college.edu
15,Student 15,22CSE015,student15@college.edu,CSE,3,5,2022,69,78,62,65,68,91,0,0,26,90,81,81,6,Dr. Mentor 15,mentor15@college.edu
16,Student 16,22ECE016,student16@college.edu,ECE,4,7,2022,62,78,87,85,70,67,61,86,28,90,82,82,6,Dr. Mentor 16,mentor16@college.edu
17,Student 17,22MECH017,student17@college.edu,MECH,1,1,2022,70,66,0,0,0,0,0,0,15,90,87,79,6,Dr. Mentor 17,mentor17@college.edu
18,Student 18,22CIVIL018,student18@college.edu,CIVIL,2,3,2022,72,78,77,72,0,0,0,0,24,90,76,75,8,Dr. Mentor 18,mentor18@college.edu
19,Student 19,22EEE019,student19@college.edu,EEE,3,5,2022,82,66,62,91,91,83,0,0,22,90,73,76,8,Dr. Mentor 19,mentor19@college.edu
20,Student 20,22IT020,student20@college.edu,IT,4,7,2022,62,77,66,66,80,90,77,78,21,90,85,86,8,Dr. Mentor 20,mentor20@college.edu
21,Student 21,22CDS021,student21@college.edu,CDS,1,1,2022,61,63,0,0,0,0,0,0,23,90,73,81,6,Dr. Mentor 21,mentor21@college.edu
22,Student 22,22CSE022,student22@college.edu,CSE,2,3,2022,91,73,93,85,0,0,0,0,27,90,89,89,9,Dr. Mentor 22,mentor22@college.edu
